"PC","var_explained","cum_var"
172,0.000299672446996119,0.9901208002944
173,0.000295546214397782,0.990416346508798
174,0.000285197078122317,0.99070154358692
175,0.000272964048922077,0.990974507635842
176,0.000267896968696926,0.991242404604539
177,0.000259202257795635,0.991501606862335
178,0.000252756515032621,0.991754363377367
179,0.000245675886486797,0.992000039263854
180,0.000237549847724408,0.992237589111579
181,0.000229302234418418,0.992466891345997
182,0.000222659456470079,0.992689550802467
183,0.00021031260586898,0.992899863408336
184,0.000207517852919639,0.993107381261256
185,0.000202893164694227,0.99331027442595
186,0.000196551214221909,0.993506825640172
187,0.000187408204252528,0.993694233844424
188,0.000182662109615835,0.99387689595404
189,0.000180271814008356,0.994057167768049
190,0.000171479310508421,0.994228647078557
191,0.000163015667872388,0.994391662746429
192,0.00016158228543429,0.994553245031864
193,0.00015978906570919,0.994713034097573
194,0.000155864739826538,0.994868898837399
195,0.000154157283705128,0.995023056121104
196,0.000149665857813641,0.995172721978918
197,0.000140704389454918,0.995313426368373
198,0.00013906925317766,0.995452495621551
199,0.000138737944071585,0.995591233565622
200,0.000135967991330748,0.995727201556953
201,0.00012763107070276,0.995854832627656
202,0.000121716387865689,0.995976549015521
203,0.000119940667465526,0.996096489682987
204,0.00011798696826595,0.996214476651253
205,0.000116380586994619,0.996330857238248
206,0.000115879907548836,0.996446737145796
207,0.000113591315974512,0.996560328461771
208,0.000111432775124413,0.996671761236895
209,0.000110149069669359,0.996781910306565
210,0.000106886231507042,0.996888796538072
211,0.000105861240725971,0.996994657778798
212,0.000104971876075447,0.997099629654873
213,0.000103131801295064,0.997202761456168
214,0.000101625360086854,0.997304386816255
215,9.94784043360909e-05,0.997403865220591
216,9.80188155311528e-05,0.997501884036122
217,9.63870883911269e-05,0.997598271124513
218,9.33537653667549e-05,0.99769162488988
219,8.94956037860177e-05,0.997781120493666
220,8.76429540592236e-05,0.997868763447725
221,8.58065191011272e-05,0.997954569966827
222,8.40157840126731e-05,0.998038585750839
223,8.07941748481838e-05,0.998119379925687
224,7.85158820382692e-05,0.998197895807726
225,7.70496028841871e-05,0.99827494541061
226,7.39677910184743e-05,0.998348913201628
227,7.08838556520005e-05,0.99841979705728
228,6.73473605844082e-05,0.998487144417865
229,6.44972517706584e-05,0.998551641669635
230,6.34426419511099e-05,0.998615084311587
231,6.10625026529171e-05,0.998676146814239
232,5.90146976434606e-05,0.998735161511883
233,5.69105641753749e-05,0.998792072076058
234,5.41833284030731e-05,0.998846255404461
235,5.26847101264433e-05,0.998898940114588
236,5.1937228294853e-05,0.998950877342883
237,4.51501399867733e-05,0.998996027482869
238,4.13076057875989e-05,0.999037335088657
239,3.94775837574565e-05,0.999076812672414
240,3.87599422054375e-05,0.99911557261462
241,3.86349905916488e-05,0.999154207605212
242,3.46465170965597e-05,0.999188854122308
243,3.2488485797136e-05,0.999221342608105
244,3.08045887513141e-05,0.999252147196857
245,2.89525805918857e-05,0.999281099777448
246,2.83505902724518e-05,0.999309450367721
247,2.73422450359435e-05,0.999336792612757
248,2.67909166864035e-05,0.999363583529443
249,2.60237456771632e-05,0.99938960727512
250,2.57404140362657e-05,0.999415347689157
251,2.55476864733993e-05,0.99944089537563
252,2.51575050557767e-05,0.999466052880686
253,2.37569922633533e-05,0.999489809872949
254,2.25678062003972e-05,0.99951237767915
255,2.20708441010354e-05,0.999534448523251
256,2.1444565210081e-05,0.999555893088461
257,2.12220374370595e-05,0.999577115125898
258,2.09387276651028e-05,0.999598053853563
259,1.92359831280403e-05,0.999617289836691
260,1.82246451954665e-05,0.999635514481886
261,1.78873538557306e-05,0.999653401835742
262,1.70630234165171e-05,0.999670464859159
263,1.59139282237205e-05,0.999686378787382
264,1.51932463194296e-05,0.999701572033702
265,1.50321966008538e-05,0.999716604230303
266,1.47830001093287e-05,0.999731387230412
267,1.40642030733655e-05,0.999745451433485
268,1.31443928794851e-05,0.999758595826365
269,1.30187344570851e-05,0.999771614560822
270,1.20558762286286e-05,0.999783670437051
271,1.16842187065235e-05,0.999795354655757
272,1.12424841668651e-05,0.999806597139924
273,1.10307278405325e-05,0.999817627867764
274,1.08600971136532e-05,0.999828487964878
275,9.83623533554265e-06,0.999838324200214
276,9.70312241038255e-06,0.999848027322624
277,9.15309029965452e-06,0.999857180412924
278,8.825451505603e-06,0.999866005864429
279,8.69168305270213e-06,0.999874697547482
280,8.06961806619948e-06,0.999882767165548
281,7.88739383832696e-06,0.999890654559387
282,7.32860734894411e-06,0.999897983166735
283,7.15771574196435e-06,0.999905140882477
284,6.99116458575722e-06,0.999912132047063
285,6.55356676946886e-06,0.999918685613833
286,5.99664476533648e-06,0.999924682258598
287,5.68828571167834e-06,0.99993037054431
288,5.33575678955838e-06,0.999935706301099
289,5.17691146136578e-06,0.999940883212561
290,4.66749759832479e-06,0.999945550710159
291,4.38480224198181e-06,0.999949935512401
292,4.35089436798495e-06,0.999954286406769
293,3.93593935598158e-06,0.999958222346125
294,3.51911235630785e-06,0.999961741458481
295,3.43649930967871e-06,0.999965177957791
296,3.38994853571761e-06,0.999968567906327
297,3.04678421051687e-06,0.999971614690537
298,2.90855682389669e-06,0.999974523247361
299,2.75016987831873e-06,0.999977273417239
300,2.62066681183886e-06,0.999979894084051
301,2.54531612916488e-06,0.99998243940018
302,2.28528549630794e-06,0.999984724685677
303,2.17803622217207e-06,0.999986902721899
304,2.04381495245722e-06,0.999988946536851
305,1.91079714452204e-06,0.999990857333996
