"","Estimate","Std. Error","t value","Pr(>|t|)"
"PC24",0.000882882988242176,0.00986359641872315,0.0895092368708721,0.92867835571215
"PC25",-0.123682847602731,0.00988764234837023,-12.5088310483963,9.89121613852585e-36
"PC26",-0.0197342921102042,0.00999638669076148,-1.97414252976451,0.0483830523258638
"PC27",0.0702965299292554,0.0101765970560091,6.90766565113693,5.11629754323543e-12
"PC28",0.0631006384970924,0.0102219413087297,6.17305818838968,6.86293437683494e-10
"PC29",0.128380590683493,0.0103832343627101,12.3642196832764,5.93778013035689e-35
"PC30",-0.0370373940473599,0.0104218131656861,-3.55383400743606,0.000380774070196305
"PC31",-0.0459751218086846,0.0104872026734325,-4.38392612790394,1.17317334578028e-05
"PC32",-0.0575448640380949,0.0106135286653684,-5.4218409213763,5.98605332530419e-08
"PC33",0.0709844602375931,0.0106396205485155,6.67170975824859,2.61301459702775e-11
"PC34",-0.0317738929720036,0.0107561266159128,-2.95402742145082,0.00314121671061257
"PC35",-0.0106071541914027,0.010960980760211,-0.96771944258011,0.333199423466335
"PC36",-0.0616126348291127,0.0109523605039715,-5.62551194391118,1.8811718348422e-08
"PC37",-0.0176405762666933,0.0109326910334572,-1.6135621333035,0.106642548554629
"PC38",-0.0126076948662694,0.0112100963146915,-1.12467319747702,0.260744750616178
"PC39",0.0485452666836917,0.0114983050105259,4.22194981253774,2.43562116117671e-05
"PC40",0.0321451106972462,0.0112358937037161,2.86093047379176,0.00422957763210688
"PC41",0.00151057720337761,0.0113013565772489,0.133663352098684,0.893670500324166
"PC42",0.060309727697675,0.0112719761760329,5.35041298489513,8.89858259175741e-08
"PC43",-0.0942917928489975,0.011286656271819,-8.35427167959647,7.12926820613312e-17
"PC44",0.0547329814645646,0.0114821324489725,4.76679586373022,1.88858101847801e-06
"PC45",0.00330568488938345,0.0114745708223146,0.288087889348759,0.773283268461587
"PC46",-0.0187497126004897,0.0114917774611008,-1.63157637397319,0.102788830429901
"PC47",0.0313680612336626,0.0114737966751617,2.73388679630063,0.00626617555561191
"PC48",0.0172083405831334,0.0116410412646105,1.4782475374817,0.139361610277366
"PC49",0.0639131633334368,0.0116425873222625,5.48960137161475,4.09093937897683e-08
"PC50",-0.0557533126985927,0.0116727808111814,-4.77635223349578,1.80117518850163e-06
"PC51",-0.0805577337748599,0.0116884614977671,-6.89207333148588,5.70793449299454e-12
"PC52",0.00019258560554429,0.0117533810885227,0.0163855493235348,0.986927016539122
"PC53",0.00894239257511455,0.0118068032848977,0.757393204522422,0.448825701600151
"PC54",-0.0147870091979939,0.0119015266084085,-1.24244642595234,0.214090466616851
"PC55",-0.0365733234016803,0.0118816897251588,-3.07812476572572,0.00208667029747206
"PC56",-0.0115058630145474,0.0119835796000303,-0.960135735612617,0.33700170242959
"PC57",-0.0364190632175218,0.0120236505783926,-3.02895222878229,0.00245802584437777
"PC58",-0.0101747754907457,0.0120742944875268,-0.842680746378736,0.399419864859267
"PC59",-0.0526046810907846,0.0121728719977877,-4.32146835195053,1.55948427869456e-05
"PC60",-0.0217764204691183,0.0122429705692305,-1.77868764332798,0.0753103459580425
"PC61",-0.0377063457807957,0.0122376727524146,-3.08116964259857,0.00206546122694988
"PC62",-0.000367150481762918,0.0122555043777282,-0.0299580066594514,0.976100925037139
"PC63",0.0213591421460764,0.012319470284749,1.73377114862788,0.0829783427484693
"PC64",0.00756147114415195,0.0123904645887053,0.610265344775263,0.541694889451831
"PC65",0.00893674257602222,0.0124725562806112,0.716512507537411,0.473685613208245
"PC66",-0.0445129396432895,0.0125031993512601,-3.56012396449581,0.00037177592796346
"PC67",-0.0171171938186136,0.0126123928028461,-1.35717259097346,0.17474590227048
"PC68",0.0128531557524696,0.0126765661171656,1.01393039989472,0.310631601341564
"PC69",-0.055569979282902,0.0126895838190037,-4.37918060005098,1.19897890640634e-05
"PC70",0.0202197770825117,0.0127315790954322,1.58815940512565,0.112270450290245
"PC71",-0.0151770586066423,0.0128171681640885,-1.18411948820066,0.236383706966224
"PC72",0.0893516656213755,0.0128677949615138,6.94382105781269,3.96610543567489e-12
"PC73",-0.0700746678407497,0.0129381350508232,-5.41613359000231,6.17983683483829e-08
"PC74",0.0482685231667275,0.0130155299048701,3.70853307698726,0.000209181936105273
"PC75",-0.0478515139473295,0.0130919878600709,-3.65502278636168,0.000257998382956404
"PC76",0.0259984789090019,0.0132148381909084,1.96737020411559,0.0491581385621931
