"n_covariates","rep","fold","RMSE","MAE","R2"
10,3,2,2.25552545238843,1.71227839861387,0.69603050079571
10,3,3,2.20804958772573,1.71129326649195,0.727214970443174
10,3,4,2.31024356762226,1.77057721967717,0.696677500565595
10,3,5,2.28214256254961,1.74903723173623,0.700118050156866
10,4,1,2.1765335777208,1.67135307329318,0.715447596808467
10,4,2,2.29775708437393,1.75237891500611,0.691883454092877
10,4,3,2.30965303743854,1.76775351902999,0.695120405664129
10,4,4,2.21429811434823,1.70180671561596,0.712321061927203
10,4,5,2.26080000305717,1.73944573602348,0.724463166529843
10,5,1,2.21877333370489,1.72135716861123,0.71110779369347
10,5,2,2.22786795605595,1.7100525482955,0.717907450153163
10,5,3,2.27518872609368,1.75464429985573,0.704730385690798
10,5,4,2.29760226531736,1.72923362889781,0.691866108767963
10,5,5,2.22850852793984,1.71163385867347,0.71793198933481
15,1,1,2.08076577656662,1.56286969821895,0.751847868456554
15,1,2,2.12189483019213,1.60714634552479,0.736583137730878
15,1,3,2.00653213155662,1.50755265669733,0.753143063126421
15,1,4,2.11760077485252,1.57424347844129,0.756994120453277
15,1,5,2.04975306611357,1.54656309253311,0.760461694601699
15,2,1,2.07498191009559,1.5665583700457,0.753466161275515
15,2,2,2.06523216015278,1.56055570716314,0.754138426655753
15,2,3,1.998992585708,1.51244791472892,0.76959534824362
15,2,4,2.13673396060928,1.6001156103928,0.741885835590624
15,2,5,2.091638865078,1.54771533258619,0.742750469224583
15,3,1,2.0244150963093,1.52445390998136,0.763346644669421
15,3,2,2.08228452399598,1.55622964379351,0.740931454869767
15,3,3,2.03601546063548,1.55338700177168,0.768065672769273
15,3,4,2.09211486277761,1.56006474333296,0.751251691531831
15,3,5,2.12615506136137,1.58966715482479,0.739711695946368
15,4,1,2.00745416570041,1.50444552915369,0.757940132451821
15,4,2,2.13167883772008,1.58572749678954,0.734814153874793
15,4,3,2.08868030807649,1.56457780149305,0.750667544152738
15,4,4,2.07059492877351,1.56089480983293,0.748448924469686
15,4,5,2.0710931870526,1.57439272387144,0.768764423399666
15,5,1,1.99756655662784,1.51355836143813,0.76584013062487
15,5,2,2.08598796421651,1.55354712697482,0.752693051314692
15,5,3,2.10752484385914,1.58974123013869,0.746645099878677
15,5,4,2.12827146364717,1.57069881341558,0.735610739080458
15,5,5,2.04523805089795,1.55960069252779,0.762418312390515
20,1,1,1.97085825660445,1.46621162955662,0.777370659473537
20,1,2,2.01718981186173,1.52628897093152,0.761938374341049
20,1,3,1.88311436955438,1.405871597914,0.782576494725848
20,1,4,2.01076209632511,1.48437961549389,0.780896160972412
20,1,5,1.94162165968345,1.45078486985528,0.785067990266164
20,2,1,1.95174601376353,1.46926703806482,0.781880491469677
20,2,2,1.94073296899366,1.45378949332598,0.782887681477689
20,2,3,1.90319421550512,1.43226601470262,0.791149704295836
20,2,4,2.01922059249983,1.49950220458255,0.769496000224967
20,2,5,2.00171535781078,1.47139481370787,0.76439428113163
20,3,1,1.93800255813768,1.44910521137505,0.783118642020888
20,3,2,1.94871786559109,1.44226188781617,0.773101054801296
20,3,3,1.92818832209356,1.45278846844251,0.791981584376397
20,3,4,1.99388530904749,1.48919888171484,0.774061920152581
20,3,5,2.00943738617702,1.49363144452001,0.767504933957984
20,4,1,1.90278777316707,1.42244297172422,0.782523558062729
20,4,2,2.00513073917576,1.48188702774553,0.765365330941182
20,4,3,1.98439485025652,1.4834900932193,0.774943763127108
20,4,4,1.98128899163224,1.48119654676499,0.769680059561499
20,4,5,1.9482924557798,1.46128173719297,0.795372654435291
20,5,1,1.88958201399311,1.42112032421462,0.79047230121457
20,5,2,1.97515003303476,1.45835728879627,0.778275898726708
20,5,3,1.99376020204688,1.49460248013406,0.773259161673465
20,5,4,1.99879961510828,1.47255595532259,0.766800142242307
20,5,5,1.95741157986819,1.47658694119143,0.782384642337399
25,1,1,1.93296994455524,1.4396464319418,0.785848155058899
25,1,2,2.0000799103229,1.50481241289019,0.765959747406796
25,1,3,1.86159224566472,1.39474621609053,0.787517963135403
25,1,4,1.97185123996366,1.45877786793223,0.789293999885972
25,1,5,1.92281186783234,1.43023945994884,0.789212199885266
25,2,1,1.92538350216243,1.45050132988913,0.787733039697117
25,2,2,1.90720035261401,1.43011317723933,0.790325539364732
25,2,3,1.87437817450468,1.41234359198376,0.79742618192626
25,2,4,1.99513352979165,1.47816609430472,0.774962514122182
25,2,5,1.97391965686633,1.44758019201597,0.770892065915392
25,3,1,1.89363432273342,1.42115503189774,0.792935444058241
25,3,2,1.91156305013007,1.41457472551036,0.781670812875501
25,3,3,1.9144489199832,1.43772941116705,0.794935513763699
25,3,4,1.97109715364153,1.47533808871907,0.779196909297029
25,3,5,1.9908490962517,1.47311431720256,0.771786427731363
25,4,1,1.87688341940076,1.40213347603804,0.78840465445893
25,4,2,1.9819301259439,1.4631200052558,0.770763657128813
25,4,3,1.95400325060356,1.46178298395529,0.78178458123751
25,4,4,1.96438510965969,1.46685344690152,0.773593363224327
25,4,5,1.90366270891275,1.42915033755272,0.804640120831683
25,5,1,1.87496828803558,1.41246664807641,0.793700676499721
25,5,2,1.94622844673095,1.43290734647771,0.784721650745074
25,5,3,1.9658690091308,1.47348364084487,0.779558653426647
25,5,4,1.95117997123744,1.4378490563743,0.7777793438821
25,5,5,1.94090715277576,1.46192667536311,0.786038932537616
